Tool Name,Category,Primary Use Case,Tags,Device Type,Programming Language,Short Description,Repository,Publication Link,Publication Status,Dependencies / Ecosystem,Notes,Latest change
iTrace,Experiment Design & Data Collection,Experiment control,experiment-control; visualization; screen-based,Both,Java,Community eye-tracking infrastructure built right into development environments for software engineers and education researchers to conduct realistic eye tracking studies. ,https://www.i-trace.org/,,No publication,Eclipse; Visual Studio; Atom; Chrome; JetBrains; Sublime; Notepad++,"Support is available for Eclipse, Visual Studio, Atom, and Chrome.",Added this entry
kollaR,"Analysis, Visualization & Quality",AOI analysis,aoi-analysis; event-detection; visualization; r,Both,R,"R package for event classification, AOI-based analyses, and publication-oriented visualizations of eye-tracking data.",https://cran.r-project.org/package=kollaR,https://doi.org/10.3758/s13428-025-02903-z,Journal article,R,CRAN package with multiple fixation classification algorithms.,
Lab Streaming Layer (LSL),Integration & Synchronization,Synchronization,synchronization; lsl; multimodal-integration; real-time,Both,C++,Widely used framework for time-synchronized multimodal data streaming across experimental systems.,https://github.com/sccn/labstreaminglayer,,No publication,LSL ecosystem,Generic framework rather than a Tobii-specific connector.,
LabManager,Experiment Design & Data Collection,Utility,utility; orchestration; experiment-control; lab-management,Screen-based,Python,Toolset for managing multi-station behavioral research labs and launching coordinated experiment tasks.,https://github.com/dcnieho/labManager,https://doi.org/10.3758/s13428-024-02467-4,Journal article,Python; network discovery; optional eye-tracker extras,The eye-tracker client can report Tobii device status inside managed lab setups.,
LSL for Tobii Pro Glasses 3,Integration & Synchronization,Data streaming,data-streaming; lsl; wearable,Wearable,Not specified, App that makes Glasses 3 compatible with Lab Streaming Layer. It automatically locates Glasses 3 eye trackers and exposes eye tracking data streams in LSL.,https://github.com/tobiipro/Tobii.Glasses3.SDK#lsl-connector-for-glasses-3,,No publication,LSL ecosystem,Designed for wearable workflows,Added this entry
Mobile Gaze Mapping,Wearable & Egocentric Workflows,Scene video processing,wearable; gaze-mapping; homography; offline,Wearable,Python,Python package that maps mobile gaze coordinates from scene video onto a fixed target stimulus.,https://github.com/jeffmacinnes/mobileGazeMapping,https://doi.org/10.21105/joss.00984,Journal article,OpenCV,Designed for wearable recordings where gaze must be remapped to a planar target.,
NH2010,"Analysis, Visualization & Quality",Event detection,event-detection; fixation-detection; saccade-detection; matlab,Both,MATLAB,MATLAB implementation of the Nystr�m and Holmqvist adaptive event classification algorithm with extensions.,https://github.com/dcnieho/NystromHolmqvist2010,,No publication,MATLAB,Implements the Nyström and Holmqvist 2010 method plus later extensions.,
OpenSesame,Experiment Design & Data Collection,Experiment control,experiment-control; stimulus-presentation; python,Both,Python,Graphical experiment builder for behavioral sciences with eye-tracking support.,https://github.com/open-cogsci/OpenSesame,,No publication,Python,Supports multiple backends including PsychoPy.,Added this entry
Opticka,Experiment Design & Data Collection,Experiment control,experiment-control; stimulus-presentation; matlab; psychtoolbox,Screen-based,MATLAB,MATLAB framework for behavioral experiments and stimulus presentation with Tobii support via Titta.,https://github.com/iandol/opticka,,No publication,Psychtoolbox; Titta,Supports finite-state-machine task logic and complex stimulus control.,
PeyeMMV,"Analysis, Visualization & Quality",Fixation detection,fixation-detection; visualization; preprocessing; python,Both,Python,Python implementation of the EyeMMV spatial-dispersion fixation detection algorithm with basic visualization support.,https://github.com/krasvas/PeyeMMV,,No publication,Python; Matplotlib,Implements the two-step I-DT style algorithm used in EyeMMV.,
PhysioData Toolbox,"Analysis, Visualization & Quality",Visualization,visualization; multimodal-integration; physiology,Both,MATLAB,"Easy-to-use and fully graphical application for visualizing, segmenting and analyzing physiological data, including eye tracking data recorded with E-Prime extensions for Tobii.",https://physiodatatoolbox.leidenuniv.nl/,,No publication,MATLAB,Supports E-Prime extensions for Tobii.,Added this entry
Presentation (Tobii Pro Extension),Experiment Design & Data Collection,Device control,device-control; stimulus-presentation; screen-based,Screen-based,Not specified,Extension enabling direct connection between Tobii Pro eye trackers and Presentation software by Neurobehavioral Systems.,https://www.neurobs.com/,,No publication,,Requires Presentation software by Neurobehavioral Systems,Added this entry
PsychoPy,Experiment Design & Data Collection,Stimulus presentation,stimulus-presentation; experiment-control; python,Both,Python,Open-source platform for creating and running a wide range of behavioral experiments.,https://github.com/psychopy/psychopy,https://link.springer.com/article/10.3758/s13428-018-01193-y,Journal article,Psychopy ecosystem,Widely used in psychology and neuroscience,Added this entry
Psychtoolbox,Experiment Design & Data Collection,Stimulus presentation,stimulus-presentation; matlab; experiment-control,Screen-based,MATLAB,Toolbox for vision research and experiment control in MATLAB,https://github.com/Psychtoolbox-3/Psychtoolbox-3,https://brill.com/view/journals/sv/10/4/article-p433_15.xml,Journal article,MATLAB ecosystem,Often used with Tobii SDK integrations,Added this entry
PupEyes,"Analysis, Visualization & Quality",Pupillometry preprocessing,pupillometry; preprocessing; visualization; python,Both,Python,Python package for preprocessing pupil data and interactively visualizing pupil size and fixation information.,https://github.com/HanZhang-psych/pupeyes,,No publication,Python,Repository emphasizes preprocessing and exploratory plots rather than device control.,
Pupillometric measures of cognitive load,"Analysis, Visualization & Quality",Feature extraction,pupillometry; feature-extraction; cognitive-load,Both,Python,Python implementation of IPA and LHIPA algorithms for estimating cognitive load from pupil data.,https://github.com/Jihaiku/Pupillometric-measures-of-cognitive-load,,No publication,Python,Implements established pupillometry metrics,Added this entry
PupillometryR,"Analysis, Visualization & Quality",Pupillometry analysis,pupillometry; preprocessing; visualization; r,Both,R,"R package for cleaning, analyzing, and visualizing pupillometry experiments in a single pipeline.",https://github.com/samhforbes/PupillometryR,,No publication,dplyr; ggplot2,Also available via CRAN mirror.,
PupilMetrics,"Analysis, Visualization & Quality",Pupillometry preprocessing,pupillometry; preprocessing; quality-control; visualization; python,Both,Python,GUI-oriented software for preprocessing pupillometric recordings and extracting robust outcome measures.,https://github.com/JulesGoninRIO/PupilMetrics,https://doi.org/10.1038/s41598-024-79920-z,Journal article,Python; SciPy,Repository links directly to the associated Scientific Reports article.,
PyGaze,Experiment Design & Data Collection,Experiment control,experiment-control; stimulus-presentation; gaze-contingent-display; python,Screen-based,Python,Cross-platform Python library for building eye-tracking experiments with stimulus presentation and online gaze interaction.,https://github.com/esdalmaijer/PyGaze,https://doi.org/10.3758/s13428-013-0422-2,Journal article,OpenSesame; PsychoPy,"Supports multiple eye trackers, including Tobii integrations.",
PyMovements,"Analysis, Visualization & Quality",Analysis pipeline,preprocessing; event-detection; visualization; python,Both,Python,"Python package for downloading datasets, preprocessing gaze data, detecting events, and visualizing results.",https://github.com/pymovements/pymovements,,No publication,,Active open-source package with dataset loaders and plotting support.,
pypillometry,"Analysis, Visualization & Quality",Pupillometry analysis,pupillometry; modeling; preprocessing; python,Both,Python,Python library for pupillometry and eye-tracking analysis with reusable processing and modeling components.,https://github.com/ihrke/pypillometry,,No publication,Python,Repository is focused on programmatic workflows rather than a GUI.,
PyTrack,"Analysis, Visualization & Quality",Feature extraction,feature-extraction; event-detection; statistics; python,Both,Python,Python toolkit for extracting eye movement features and organizing analyses from raw eye-tracking datasets.,https://github.com/titoghose/PyTrack,,No publication,Python,"Includes data readers, experiment abstractions, and subject-level analysis utilities.",
SaFiDe,"Analysis, Visualization & Quality",Event detection,event-detection; fixation-detection; saccade-detection; matlab,Both,MATLAB,MATLAB implementation of the SaFiDe method for detecting saccade and fixation periods from eye movement signals.,https://github.com/smadariagar/SaFiDe/tree/main,,No publication,MATLAB,Repository is lightweight and centered on the core algorithm files.,
scanpath (R),"Analysis, Visualization & Quality",Scanpath analysis,scanpath-analysis; multimatch; r,Both,R,R package for computing scanpath similarity measures such as MultiMatch from eye-tracking sequences.,https://github.com/tmalsburg/scanpath,,No publication,R,Repository focuses on scanpath comparison workflows.,
TalkToProLab (within Titta),Experiment Design & Data Collection,Pro Lab integration,pro-lab; experiment-control; sdk-wrapper; matlab,Screen-based,MATLAB,Component inside Titta that lets external MATLAB experiments communicate with Tobii Pro Lab recording workflows.,https://github.com/dcnieho/Titta,https://doi.org/10.3758/s13428-020-01358-8,Journal article,Titta; Psychtoolbox; Tobii Pro Lab,Entry refers to the TalkToProLab component inside the Titta repository.,Changed category from Integration & Synchronization to Experiment Design & Data Collection
Titta (PsychoPy),Experiment Design & Data Collection,Experiment control,experiment-control; psychopy; calibration; validation,Screen-based,Python,"Python toolbox for running Tobii screen-based experiments with PsychoPy-based participant setup, calibration, and recording.",https://github.com/marcus-nystrom/Titta,https://doi.org/10.3758/s13428-020-01358-8,Journal article,PsychoPy; TittaPy; Tobii Pro SDK,For Python workflows; includes demo analyses and experiment examples.,Renamed for clarity
Titta (Psychtoolbox),Experiment Design & Data Collection,Experiment control,experiment-control; psychtoolbox; calibration; validation,Screen-based,MATLAB,"MATLAB toolbox for running Tobii screen-based experiments with Psychtoolbox-based participant setup, calibration, and recording.",https://github.com/dcnieho/Titta,https://doi.org/10.3758/s13428-020-01358-8,Journal article,Psychtoolbox; Tobii Pro SDK,Repository also contains TalkToProLab and LSL-related components.,Renamed for clarity
Titta LSL Streamer,Integration & Synchronization,Synchronization,synchronization; lsl; real-time; experiment-control,Screen-based,Mixed,LSL extension for streaming Tobii gaze data with low-latency timing for networked and multi-participant experiments.,https://github.com/dcnieho/Titta/tree/master/LSL_streamer,https://doi.org/10.3758/s13428-025-02714-2,Journal article,Lab Streaming Layer; Titta; Tobii Pro SDK,Entry refers to the LSL_streamer component inside the Titta repository.,Keep it under the right category in the Readme file
Tobii Pro Glasses 3 SDK,"Data Access, Parsing & Management",Data streaming,wearable; glasses-3; device-control; data-streaming,Wearable,C#,"	
SDK for .net development that includes methods for managing Glasses 3 such as calibrate, record and replay eye tracking data.",https://github.com/tobiipro/Tobii.Glasses3.SDK,,No publication,Tobii Pro Glasses 3,Supports live control and post-session access via standard protocols.,Added this entry
Tobii Pro SDK,"Data Access, Parsing & Management",Data streaming,data-streaming; device-control; sdk-wrapper,Screen-based,Mixed,"Official Tobii developer SDK family for discovering compatible devices, controlling sessions, and streaming gaze data.",https://developer.tobiipro.com/,,No publication,Tobii developer ecosystem,Readme links to the official developer portal rather than a single source repository.,Changed device category to screen-based only
tobii-eye-tracking-pipeline,"Analysis, Visualization & Quality",Analysis pipeline,preprocessing; machine-learning; visualization; r; python,Both,Mixed,"Reproducible pipeline for cleaning Tobii data, analyzing sequence patterns and clusters, and running predictive models.",https://github.com/jessewashburn/tobii-eye-tracking-pipeline,,No publication,R; Python,Repository combines statistical scripts and machine-learning workflows.,
TobiiGlassesPyController,Wearable & Egocentric Workflows,Device control,wearable; device-control; data-streaming; glasses-2,Wearable,Python,"Python controller for accessing Tobii Pro Glasses 2 eye-tracking data and managing recordings, participants and calibrations.",https://github.com/ddetommaso/TobiiGlassesPyController,https://doi.org/10.1145/3314111.3319828,Other,Tobii Pro Glasses 2 API,Lower-level controller focused on direct device interaction and recording management.,Added this entry
TobiiGlassesPySuite,Wearable & Egocentric Workflows,Device control,wearable; device-control; recording; glasses-2,Wearable,Python,Python toolkit for controlling Tobii Pro Glasses 2 and managing study recording workflows.,https://github.com/ddetommaso/TobiiGlassesPySuite,,No publication,Tobii Pro Glasses 2 API,Package focuses on Glasses 2 control and cross-platform scripting.,
tobiilsl,Integration & Synchronization,Data streaming,data-streaming; lsl; python; real-time,Screen-based,Python,Lightweight Python bridge that publishes Tobii Pro SDK gaze data into Lab Streaming Layer streams.,https://github.com/baekgaard/tobiilsl,,No publication,Tobii Pro SDK; pylsl,Uses timestamps provided by the Tobii API for stream timing.,
TP3Py,Wearable & Egocentric Workflows,Data streaming,wearable; data-streaming; real-time; glasses-3,Wearable,Python,Modular real-time pipeline for collecting and processing eye and head tracking data from Tobii Pro Glasses 3.,https://github.com/SUNYOpt/TP3Py,https://doi.org/10.1101/2022.09.02.506255,Preprint,GStreamer; OpenCV; PyQt5,Repository accompanies the TP3Py preprint.,
Transition matrix plot,"Analysis, Visualization & Quality",Visualization,visualization; scanpath-analysis; pro-lab,Screen-based,Python,Script for generating transition matrix visualizations from Tobii Pro Lab exports.,https://github.com/richardandersson/TobiiProLabScripts/tree/master/transition%20matrix%20plot,,No publication,Tobii Pro Lab,Designed for post-processing exported data,
Translog-II,Experiment Design & Data Collection,Recording,recording; writing-analysis; screen-based,Screen-based,C#,Program for recording and analyzing writing and translation processes,https://sites.google.com/site/centretranslationinnovation/translog-ii,https://aclanthology.org/L12-1352/,Other,,Used in translation process research,Added this entry
